"sid","title","authors","year","doi","status","reason"
17,"Metabolomics of Dynamic Changes in Insulin Resistance Before and After Exercise in PCOS","Halama, Anna; Aye, Myint Myint; Dargham, Soha R.; Kulinski, Micha; Suhre, Karsten; Atkin, Stephen L.",2019,"10.3389/fendo.2019.00116","included",
18,"Comparison of Sports Drink Versus Oral Rehydration Solution During Exercise in the Heat","Schleh, Michael W.; Dumke, Charles L.",2018,"10.1016/j.wem.2018.01.005","excluded_fulltext","no primary research"
19,"Expiratory Peak Flow and Minute Ventilation Are Significantly Increased at High Altitude versus Simulated Altitude in Normobaria","Netzer, Nikolaus C.; Rausch, Linda K.; Friess, Matthias; Strohl, Kingman P.; Schilz, Robert; Decker, Michael; Pramsohler, Stephan",2022,"10.3390/life12020306","included",
20,"A Comparison of the Validity of Three Exercise Tests for Estimating Maximal Oxygen Uptake in Korean Adults Aged 19-64 Years","Chung, Jinwook; Lee, Kihyuk",2022,"10.3390/app12031371","included",
21,"Effects of sprint interval training on sloping surfaces on aerobic and anaerobic power","Hindistan, Ethem; Ozdogan, Emel Cetin; Bilgin, Gurkan; Colak, Omer Halil; Ozkaya, Y. Gul",2020,"10.2478/bhk-2020-0006","included",
22,"High-intensity interval training vs. hydrochlorothiazide on blood pressure, cardiovascular health and cognition: Protocol of a non-inferiority trial","Langeard, Antoine; Cloutier, Simon-Olivier; Olmand, Miloudza; Saillant, Kathia; Gagnon, Christine; Gregoire, Catherine-Alexandra; Fortier, Annick; Lacroix, Martine; Lalonge, Julie; Gayda, Mathieu; Besnier, Florent; Gagnon, Daniel; Bherer, Louis; Nigam, Anil",2021,"10.1016/j.cct.2021.106286","excluded_abstract","no primary research"
23,"Acceleration-based training: A new mode of training in senescent rats improving performance and left ventricular and muscle functions","Launay, Thierry; Momken, Iman; Carreira, Serge; Mougenot, Nathalie; Zhou, Xian-Long; De Koning, Leanne; Niel, Romain; Riou, Bruno; Billat, Veronique; Besse, Sophie",2017,"10.1016/j.exger.2017.05.002","excluded_abstract","reasearch not in humans"
24,"The role of Hippo signaling pathway in physiological cardiac hypertrophy","Gholipour, Majid; Tabrizi, Arezoo",2020,"10.34172/bi.2020.32","excluded_abstract","reasearch not in humans"
25,"Validity of Wrist-Worn Activity Trackers for Estimating VO2max and Energy Expenditure","Passler, Stefanie; Bohrer, Julian; Bloechinger, Lukas; Senner, Veit",2019,"10.3390/ijerph16173037","included",
26,"Improvement in cognitive impairment following a 12-week aerobic exercise intervention in individuals with non-cirrhotic chronic hepatitis C","O'Gorman, Philip; Strahan, Orla; Ferguson, Damien; Monaghan, Ann; Kennedy, Megan; Forde, Cuisle; Melo, Ashanty M.; Doherty, Derek G.; O'Brien, Kelly K.; McKiernan, Susan; Kenny, Rose Anne; Coen, Robert; Doherty, Colin; Bergin, Colm; Gormley, John; Norris, Suzanne",2021,"10.1111/jvh.13460","excluded_abstract","VO2 only estimated"
27,"Considerations When Assessing Endurance in Combat Sport Athletes","Barley, Oliver R.; Chapman, Dale W.; Guppy, Stuart N.; Abbiss, Chris R.",2019,"10.3389/fphys.2019.00205","excluded_abstract","no primary research"
28,"Cardiopulmonary Exercise Test Parameters at Three Months After Alcohol Septal Ablation in Hypertrophic Obstructive Cardiomyopathy Are Associated With Late Clinical Outcome","Rigopoulos, Angelos G.; Panou, Fotios; Sakadakis, Eleftherios; Frogoudaki, Alexandra; Papadopoulou, Konstadia; Triantafyllidi, Helen; Ali, Muhammad; Iliodromitis, Efstathios; Rizos, Ioannis; Noutsias, Michel",2020,"10.1016/j.hlc.2018.12.007","excluded_fulltext","no primary research"
29,"Microparticle Responses to Aerobic Exercise and Meal Consumption in Healthy Men","Highton PJ, Goltz FR, Martin N, Stensel DJ, Thackray AE, Bishop NC.",2019,"10.1249/MSS.0000000000001985","included",
30,"Development in Adolescent Middle-Distance Athletes: A Study of Training Loadings, Physical Qualities, and Competition Performance","Jones, Thomas W.; Shillabeer, Barry C.; Ryu, Joong Hyun; Cardinale, Marco",2021,"10.1519/JSC.0000000000003437","included",
31,"A New Fitness Test of Estimating VO2max in Well-Trained Rowing Athletes","Gao, Wei Dong; Nuuttila, Olli-Pekka; Fang, Hai Bo; Chen, Qian; Chen, Xi",2021,"10.3389/fphys.2021.701541","included",
32,"Intravenous iron delivers a sustained (8-week) lowering of pulmonary artery pressure during exercise in healthy older humans","Cheng HY, Frise MC, Curtis MK, Bart NK, Petousi N, Talbot NP, Balanos GM, Robbins PA, Dorrington KL.",2019,"10.14814/phy2.14164","included",
33,"Oxygen uptake and muscle activity limitations during stepping on a stair machine at three different climbing speeds","Halder, Amitava; Gao, Chuansi; Miller, Michael; Kuklane, Kalev",2018,"10.1080/00140139.2018.1473644","included",
34,"Higher lipid turnover and oxidation in cultured human myotubes from athletic versus sedentary young male subjects","Lund, Jenny; Helle, Siw A.; Li, Yuchuan; Lovsletten, Nils G.; Stadheim, Hans K.; Jensen, Jorgen; Kase, Eili T.; Thoresen, G. Hege; Rustan, Arild C.",2018,"10.1038/s41598-018-35715-7","included",
35,"Effects of short- and long-term cold acclimation on morphology, physiology, and exercise performance of California mice (Peromyscus californicus): potential modulation by fatherhood","Andrew, Jacob R.; Garland, Theodore, Jr.; Chappell, Mark A.; Zhao, Meng; Saltzman, Wendy",2019,"10.1007/s00360-019-01219-7","excluded_abstract","reasearch not in humans"
36,"The Effect of Polarized Training on the Athletic Performance of Male and Female Cross-Country Skiers during the General Preparation Period","Kim TH, Han JK, Lee JY, Choi YC.",2021,"10.3390/healthcare9070851","excluded_fulltext","report not retrieved"
37,"Does Emotion Regulation Predict Gains in Exercise-Induced Fitness? A Prospective Mixed-Effects Study with Elite Helicopter Pilots","Cardenas, David; Madinabeitia, Iker; Alarcon, Francisco; Perales, Jose C.",2020,"10.3390/ijerph17114174","excluded_fulltext","no information regarding the exclusion criteria"
38,"Relationships between Different Field Test Performance Measures in Elite Goalball Players","Goulart-Siqueira, Gabriel; Benitez-Flores, Stefano; Ferreira, Alexandre R. P.; Zagatto, Alessandro M.; Foster, Carl; Boullosa, Daniel",2019,"10.3390/sports7010006","excluded_abstract","VO2 only estimated"
39,"Within-session responses to high-intensity interval training in spinal cord injury","Astorino, Todd Anthony; Thum, Jacob S.",2018,"10.1080/09638288.2016.1260648","included",
40,"PHYSICAL ACTIVITY OF ELITE FOOTBALL PLAYERS USING DIFFERENT REGIMES OF ENERGY METABOLISM","Lyzohub, Volodymyr; Kozhemiako, Tetiana; Khomenko, Sergii; Pustovalov, Vitalii; Shpaniuk, Vitalii",2021,"10.5114/hpc.2021.107781","included",
41,"Reference values and secular trends for cardiorespiratory fitness in children and adolescents with obesity","Johansson, Linnea; Brissman, Markus; Morinder, Gunilla; Westerstahl, Maria; Marcus, Claude",2020,"10.1111/apa.15163","excluded_abstract","VO2 only estimated"
42,"The Impact of Wearing and Perceiving Colors on Hormonal, Physiological, and Psychological Parameters in Cycling","Mentzel, Stijn, V; Krenn, Bjoern; Dreiskaemper, Dennis; Strauss, Bernd",2021,"10.1123/jsep.2020-0150","excluded_abstract","VO2 only estimated"
43,"Running Stride Length And Rate Are Changed And Mechanical Efficiency Is Preserved After Cycling In Middle-Level Triathletes","da Rosa, Rodrigo Gomes; de Oliveira, Henrique Bianchi; Ardigo, Luca Paolo; Gomenuka, Natalia Andrea; Fischer, Gabriela; Peyre-Tartaruga, Leonardo Alexandre",2019,"10.1038/s41598-019-54912-6","included",
44,"Effects of military basic training on VO2max, body composition, muscle strength and neural responses in conscripts of different aerobic condition","Salo, Kristiina; Piirainen, Jarmo M.; Tanskanen-Tervo, Minna M.; Kyrolainen, Heikki; Huovinen, Jukka; Linnamo, Vesa",2019,"10.2478/bhk-2019-0023","excluded_fulltext","VO2 only estimated"
45,"Effects of strength training on bioenergetics parameters determined at velocity corresponding to maximal oxygen uptake in endurance runners","Damasceno, M.; Pasqua, L.; Gaspari, A.; Araujo, G.; de-Oliveira, F.; Lima-Silva, A.; Bertuzzi, R.",2018,"10.1016/j.scispo.2018.04.004","included",
46,"Comparing the effect of visual and non-visual music on functional factors in a progressive aerobic exercise program","Alizadeh, Faezeh; Ramzani, Zeinab; Amani, Alireza",2017,"10.22631/ijaep.v6i3.192","included",
47,"Physiological Responses to Increasing Battling Rope Weight During Two 3-Week High-Intensity Interval Training Programs","Bornath, Derek P. D.; Kenno, Kenji A.",2022,"10.1519/JSC.0000000000003470","excluded_fulltext","VO2 only estimated"
48,"EFFECTS OF 6 WEEKS OF DIFFERENT HIGH-INTENSITY INTERVAL AND MODERATE CONTINUOUS TRAINING ON AEROBIC AND ANAEROBIC PERFORMANCE","Cavar, Mile; Marsic, Toso; Corluka, Marin; Culjak, Zoran; Zovko, Ivana Cerkez; Mueller, Alex; Tschakert, Gerhard; Hofmann, Peter",2019,"10.1519/JSC.0000000000002798","excluded_abstract","VO2 only estimated"
49,"Considerations for ultra-endurance activities: part 1-nutrition","Costa, Ricardo J. S.; Hoffman, Martin D.; Stellingwerff, Trent",2019,"10.1080/15438627.2018.1502188","excluded_abstract","no primary research"
50,"Predicting VO2max by machine learning models before volitional fatigue during incremental exercise","Beltrame, Thomas; Pereira, Luis; Gois, Mariana; Frade, Maria; Linares, Stephanie; Petronilho, Ariane; Hughson, Richard; Catai, Aparecida; Torres, Ricardo",2019,"10.1183/13993003.congress-2019.PA4132","included",
51,"Medium term effects of physical conditioning on breath-hold diving performance","Fernandez, F. A.; Martin-Martin, R.; Garcia-Camacha, I; Juarez, D.; Fidel, P.; Gonzalez-Rave, J. M.",2019,"10.1016/j.resp.2018.07.013","included",
52,"The acute effects of thermogenic fitness drink formulas containing 140 mg and 100 mg of caffeine on energy expenditure and fat metabolism at rest and during exercise","Clark, Nicolas W.; Wells, Adam J.; Coker, Nicholas A.; Goldstein, Erica R.; Herring, Chad H.; Starling-Smith, Tristan M.; Varanoske, Alyssa N.; Panissa, Valeria L. G.; Stout, Jeffrey R.; Fukuda, David H.",2020,"10.1186/s12970-020-0341-4","included",
53,"PHYSICAL ACTIVITY, CARDIORESPIRATORY FITNESS AND METABOLIC SYNDROME IN ADOLESCENTS","de Oliveira, Raphael Goncalves; Guedes, Dartagnan Pinto",2018,"10.1590/1517-869220182404174502","excluded_abstract","VO2 only estimated"
54,"Effect of aerobic training on exercise capacity and quality of life in patients older than 75 years with acute coronary syndrome undergoing percutaneous coronary intervention","Deng, Bingying; Shou, Xiaoling; Ren, Aihua; Liu, Xinwen; Wang, Qinan; Wang, Bozhong; Wang, Yan; Yan, Ting; Zhao, Xiaoxia; Zhu, Liyue",,"10.1080/09593985.2020.1825580","excluded_fulltext","not in English"
55,"The oxygen uptake efficiency slope is not a valid surrogate of aerobic fitness in cystic fibrosis","Williams, Craig A.; Tomlinson, Owen W.; Chubbock, Lucy V.; Stevens, Daniel; Saynor, Zoe L.; Oades, Patrick J.; Barker, Alan R.",2018,"10.1002/ppul.23896","included",
56,"Effect of high-intensity resistance circuit-based training in hypoxia on aerobic performance and repeat sprint ability","Ramos-Campo, D. J.; Martinez-Guardado, I.; Olcina, G.; Marin-Pagan, C.; Martinez-Noguera, F. J.; Carlos-Vivas, J.; Alcaraz, P. E.; Rubio, J. A.",2018,"10.1111/sms.13223","excluded_fulltext","no appropriate test protocol (no exhaustion)"
57,"Evaluation of the relationship between body composition and aerobic fitness in youth soccer players","Nalbant, O.; Ozer, K.",2018,"10.15561/20755279.2018.0505","excluded_abstract","VO2 only estimated"
58,"Physiological Responses of Female Load Carriage Improves after 10 Weeks of Training","Wills, Jodie A.; Drain, Jace; Fuller, Joel T.; Doyle, Tim L. A.",2020,"10.1249/MSS.0000000000002321","included",
59,"No Superior Adaptations to Carbohydrate Periodization in Elite Endurance Athletes","Gejl, Kasper Degn; Thams, Line Bork; Hansen, Mette; Rokkedal-Lausch, Torben; Plomgaard, Peter; Nybo, Lars; Larsen, Filip J.; Cardinale, Daniele A.; Jensen, Kurt; Holmberg, Hans-Christer; Vissing, Kristian; Krtenblad, Niels",2017,"10.1249/MSS.0000000000001377","excluded_fulltext","not in English"
60,"Quality of life measures predict cardiovascular health and physical performance in chronic renal failure patients","Rogan, A.; McCarthy, K.; McGregor, G.; Hamborg, T.; Evans, G.; Hewins, S.; Aldridge, N.; Fletcher, S.; Krishnan, N.; Higgins, R.; Zehnder, D.; Ting, S. M.",2017,"10.1371/journal.pone.0183926","included",
61,"Lifestyle exercise attenuates immunosenescence; flow cytometry analysis","Tylutka A, Morawin B, Gramacki A, Zembron-Lacny A.",2021,"10.1186/s12877-021-02128-7","included",
62,"Exercise Prescription Enhances Maximal Oxygen Uptake and Anaerobic Threshold in Young Single Ventricle Patients with Fontan Circulation","Pyykkonen, Henri; Rahkonen, Otto; Nadja, Ratia; Sini, Lahteenmaki; Heikki, Tikkanen; Paivi, Piirila; Olli, Pitkanen-Argillander",,"10.1007/s00246-021-02806-8","included",
63,"Quantifying the effects of four weeks of low-volume high-intensity sprint interval training on (V) over dotO(2max) through assessment of hemodynamics","Gordon, Dan; Swain, Patrick; Keiller, Don; Merzbach, Viviane; Gernigon, Marie; Chung, Henry",2020,"10.23736/S0022-4707.19.09912-2","excluded_fulltext","no information regarding the exclusion criteria"
64,"Physiological and Psychological Responses during Exercise and Recovery in a Cold Environment Is Gender-Related Rather Than Fabric-Related","Cernych, Margarita; Baranauskiene, Neringa; Eimantas, Nerijus; Kamandulis, Sigitas; Daniuseviciute, Laura; Brazaitis, Marius",2017,"10.3389/fpsyg.2017.01344","included",
65,"Cardiorespiratory fitness in patients with type 2 diabetes: A missing piece of the puzzle","Tadic, Marijana; Grassi, Guido; Cuspidi, Cesare",2021,"10.1007/s10741-020-10015-3","excluded_abstract","no primary research"
66,"Physiological, Perceptual, and Affective Responses to Six High-Intensity Interval Training Protocols","Follador L, Alves RC, Ferreira SDS, Buzzachera CF, Andrade VFDS, Garcia EDSA, Osiecki R, Barbosa SC, de Oliveira LM, da Silva SG.",2018,"10.1177/0031512518754584","excluded_fulltext","VO2 only estimated"
67,"Effects of exercise using a mobile device on cardiopulmonary function, metabolic risk factors, and self-efficacy in obese women","Kim, Dae-Young",2018,"10.12965/jer.1836454.227","excluded_fulltext","no appropriate test protocol (longer than 20 minutes)"
68,"Quantification of training and match load in elite youth soccer players: a full-season study","Nobari H, Barjaste A, Haghighi H, Clemente FM, Carlos-Vivas J, Perez-Gomez J.",2021,"10.23736/S0022-4707.21.12236-4","included",
69,"FUNCTIONAL FITNESS OF ELITE ATHLETES IN TEAM SPORTS","Mekhdieva, K. R.; Zakharova, A. V.",2017,"10.14529/hsm170401","excluded_fulltext","no primary research"
70,"Changes in exercise capacity and serum BDNF following long-term sprint interval training in well-trained cyclists","Hebisz, Paulina; Hebisz, Rafai; Murawska-Cialowicz, Eugenia; Zaton, Marek",2019,"10.1139/apnm-2018-0427","included",
71,"The effectiveness of a nurse-led exercise and health education informatics program on exercise capacity and quality of life among cancer survivors after esophagectomy: A randomized controlled trial","Chang, Yu-Ling; Tsai, Yun-Fang; Hsu, Chien-Lung; Chao, Yin-Kai; Hsu, Chih-Chin; Lin, Kuan-Chia",2020,"10.1016/j.ijnurstu.2019.103418","included",
72,"beta-Adrenergic receptor blockade does not modify non-thermal sweating during static exercise and following muscle ischemia in habitually trained individuals","Amano, Tatsuro; Igarashi, Anna; Fujii, Naoto; Hiramatsu, Daichi; Inoue, Yoshimitsu; Kondo, Narihiko",2018,"10.1007/s00421-018-3993-x","excluded_fulltext","no information regarding the exclusion criteria"
73,"Effects of interrupting sitting with different activity bouts on postprandial lipemia: A randomized crossover trial","Ma, Sheng-Xia; Zhu, Zheng; Cao, Zhen-Bo",2021,"10.1111/sms.13886","excluded_fulltext","no primary research"
74,"Static Metabolic Bubbles as Precursors of Vascular Gas Emboli During Divers' Decompression: A Hypothesis Explaining Bubbling Variability","Imbert, Jean-Pierre; Egi, Salih Murat; Germonpre, Peter; Balestrau, Costantino",2019,"10.3389/fphys.2019.00807","excluded_abstract","no primary research"
75,"Anthropometric characteristics and aerobic capacity among players of the U-22 Peruvian Football Team, 2015","Robles Pino, Alexander; Pairazaman Guevara, Roosvell; Pereyra Elias, Renee",2019,"10.12873/393robles","included",
76,"Isokinetic Muscular Strength and Aerobic Physical Fitness in Recreational Long-Distance Runners: A Cross-Sectional Study","Andrade, Marilia S.; Silva, Wallace A.; de Lira, Claudio A. B.; Mascarin, Naryana C.; Vancini, Rodrigo L.; Nikolaidis, Pantelis T.; Knechtle, Beat",2022,"10.1519/JSC.0000000000003837","excluded_fulltext","no appropriate test protocol (no exhaustion)"
77,"Short term heat acclimation reduces heat stress, but is not augmented by dehydration","Schleh, Michael W.; Ruby, Brent C.; Dumke, Charles L.",2018,"10.1016/j.jtherbio.2018.10.004","excluded_fulltext","VO2 only estimated"
78,"Aerobic Metabolic Adaptations in Endurance Eccentric Exercise and Training: From Whole Body to Mitochondria","Touron, Julianne; Costes, Frederic; Coudeyre, Emmanuel; Perrault, Helene; Richard, Ruddy",2021,"10.3389/fphys.2020.596351","excluded_abstract","no primary research"
79,"The Association Between beta-Blocker Use and Cardiorespiratory Fitness: The Maastricht Study","Nielen, Johannes T. H.; de Vries, Frank; van der Velde, Jeroen. H. P. M.; Savelberg, Hans H. C. M.; Schaper, Nicolaas C.; Dagnelie, Pieter C.; Henry, Ronald M. A.; Schram, Miranda; Stehouwer, Coen D. A.; Boonen, Annelies; Koster, Annemarie; van den Bemt, Bart J. F.",2019,"10.1177/1074248418778551","excluded_abstract","VO2 only estimated"
80,"Greater ankle strength, anaerobic and aerobic capacity, and agility predict Ground Combat Military Occupational School graduation in female Marines","Allison KF, Keenan KA, Wohleber MF, Perlsweig KA, Pletcher ER, Lovalekar M, Beals K, Coleman LC, Nindl BC.",2017,"10.1016/j.jsams.2017.08.005","excluded_fulltext","no appropriate test protocol (longer than 20 minutes)"
81,"Practical method for determining safe work while wearing explosive ordnance disposal suits","Potter, Adam W.; Hunt, Andrew P.; Pryor, J. Luke; Pryor, Riana R.; Stewart, Ian B.; Gonzalez, Julio A.; Xu, Xiaojiang; Waldock, Kirsty A. M.; Hancock, Jason W.; Looney, David P.",2021,"10.1016/j.ssci.2021.105328","included",
82,"Is cardiovascular fitness associated with structural brain integrity in midlife? Evidence from a population-representative birth cohort study","d'Arbeloff T, Cooke M, Knodt AR, Sison M, Melzer TR, Ireland D, Poulton R, Ramrakha S, Moffitt TE, Caspi A, Hariri AR.",2020,"10.18632/aging.104112","excluded_abstract","no primary research"
83,"Endurance capacity and neuromuscular fatigue following high- vs moderate-intensity endurance training: A randomized trial","O'Leary, T. J.; Collett, J.; Howells, K.; Morris, M. G.",2017,"10.1111/sms.12854","included",
84,"Changes of Differential Urinary Metabolites after High-Intensive Training in Teenage Football Players","Cao, Ben; Liu, Shuojia; Yang, Lin; Chi, Aiping",2020,"10.1155/2020/2073803","excluded_fulltext","no appropriate test protocol (longer than 20 minutes)"
85,"Using trunk posture to monitor heat strain at work","Quinn TD, Seo Y, Yorio PL, Aljaroudi A, Coca A, Kim JH, Roberge RJ, Jon Williams W.",2018,"10.1080/00140139.2018.1497207","excluded_fulltext","report not retrieved"
86,"Professional cyclists have lower levels of bone markers than amateurs. Is there a risk of osteoporosis in cyclist?","Javier Martinez-Noguera, Francisco; Alcaraz, Pedro E.; Ortolano-Rios, Raquel; Dufour, Stephane; Marin-Pagan, Cristian",2021,"10.1016/j.bone.2021.116102","included",
87,"Heart rate recovery fast-to-slow phase transition: Influence of physical fitness and exercise intensity","Bartels, Rhenan; Prodel, Eliza; Laterza, Mateus C.; de Lima, Jorge Roberto P.; Pecanha, Tiago",2018,"10.1111/anec.12521","included",
88,"Genetic variants associated with exercise performance in both moderately trained and highly trained individuals","Harvey, N. R.; Voisin, S.; Dunn, P. J.; Sutherland, H.; Yan, X.; Jacques, M.; Papadimitriou, I. D.; Haseler, L. J.; Ashton, K. J.; Haupt, L. M.; Eynon, N.; Griffiths, L. R.",2020,"10.1007/s00438-019-01639-8","included",
89,"Long-lasting exercise involvement protects against decline in (V) over dotO(2max) and (V) over dotO(2) kinetics in moderately active women","Zubac, Damir; Ivancev, Vladimir; Valic, Zoran; Simunic, Bostjan",2021,"10.1139/apnm-2020-0307","included",
90,"Previous experience, aerobic capacity and body composition are the best predictors for Olympic distance triathlon performance: Predictors in amateur triathlon","Puccinelli PJ, Lima GHO, Pesquero JB, de Lira CAB, Vancini RL, Nikolaids PT, Knechtle B, Andrade MS.",2020,"10.1016/j.physbeh.2020.113110","included",
91,"VEGFR2 Gene Polymorphism and Aerobic Performance in Turkish Elite Endurance Athletes","Ercan, Tural; Zulfinaz, Celik Betul",2020,"10.31901/24566330.2020/20.03.759","excluded_fulltext","no primary research"
92,"Cardiorespiratory fitness and future risk of pneumonia: a long-term prospective cohort study","Kunutsor, Setor K.; Laukkanen, Tanjaniina; Laukkanen, Jari A.",2017,"10.1016/j.annepidem.2017.08.011","included",
93,"The dose-response association between VÌ‡O(2peak) and self-reported physical activity in children","Nevill AM, Duncan MJ, Sandercock G.",2020,"10.1080/02640414.2020.1756682","excluded_abstract","VO2 only estimated"
94,"Evaluation of the Electromyography Test for the Analysis of the Aerobic-Anaerobic Transition in Elite Cyclists during Incremental Exercise","Latasa, Iban; Cordova, Alfredo; Quintana-Orti, Gregorio; Lavilla-Oiz, Ana; Navallas, Javier; Rodriguez-Falces, Javier",2019,"10.3390/app9030589","included",
95,"Iron Supplementation during Three Consecutive Days of Endurance Training Augmented Hepcidin Levels","Ishibashi, Aya; Maeda, Naho; Kamei, Akiko; Goto, Kazushige",2017,"10.3390/nu9080820","included",
96,"Protracted Cardiovascular Impairments After Anterior Cruciate Ligament Injury: A Critically Appraised Topic","Butler, Cody R.; Allen, Kirsten; Distefano, Lindsay J.; Lepley, Lindsey K.",2020,"10.1123/jsr.2019-0175","excluded_abstract","no primary research"
97,"The influence of iatrogenic interatrial septum leaks after left atrial appendage closure on cardiac function test results","Mitrega, Katarzyna; Streb, Witold; Szymala, Magdalena; Podolecki, Tomasz; Leopold-Jadczyk, Anna; Morawski, Stanislaw; Kalarus, Zbigniew",2018,"10.1111/joic.12531","excluded_fulltext","report not retrieved"
98,"Exercise at an onsite facility with or without direct exercise supervision improves health-related physical fitness and exercise participation: An 8-week randomised controlled trial with 15-month follow-up","Hunter JR, Gordon BA, Lythgo N, Bird SR, Benson AC.",2018,"10.1002/hpja.2","included",
99,"Physical activity impact on motor development and oxidative stress biomarkers in school children with intellectual disability","Alghadir, Ahmad H.; Gabr, Sami A.",2020,"10.1590/1806-9282.66.5.600","included",
100,"Association Between Sport Participation, Body Composition, Physical Fitness, and Social Correlates Among Adolescents: The PAHL Study","Agata, Korcz; Monyeki, Makama Andries",2018,"10.3390/ijerph15122793","excluded_abstract","VO2 only estimated"
