,id,i1,i2,result,decision,doi
47,47,NA,NA,NA,NA,10.1519/JSC.0000000000003470
48,48,m,m,m,m,10.1519/JSC.0000000000002798
49,49,r,r,r,r,10.1080/15438627.2018.1502188
50,50,NA,NA,NA,NA,10.1183/13993003.congress-2019.PA4132
51,51,NA,NA,NA,NA,10.1016/j.resp.2018.07.013
52,52,NA,NA,NA,NA,10.1186/s12970-020-0341-4
53,53,m,m,m,m,10.1590/1517-869220182404174502
54,54,NA,NA,NA,NA,10.1080/09593985.2020.1825580
55,55,NA,NA,NA,NA,10.1002/ppul.23896
56,56,NA,NA,NA,NA,10.1111/sms.13223
57,57,m,m,m,m,10.15561/20755279.2018.0505
58,58,NA,NA,NA,NA,10.1249/MSS.0000000000002321
59,59,NA,NA,NA,NA,10.1249/MSS.0000000000001377
60,60,NA,NA,NA,NA,10.1371/journal.pone.0183926
61,61,NA,NA,NA,NA,10.1186/s12877-021-02128-7
62,62,NA,NA,NA,NA,10.1007/s00246-021-02806-8
63,63,NA,NA,NA,NA,10.23736/S0022-4707.19.09912-2
64,64,NA,NA,NA,NA,10.3389/fpsyg.2017.01344
65,65,r,r,r,r,10.1007/s10741-020-10015-3
66,66,NA,NA,NA,NA,10.1177/0031512518754584
67,67,NA,NA,NA,NA,10.12965/jer.1836454.227
68,68,NA,NA,NA,NA,10.23736/S0022-4707.21.12236-4
69,69,NA,NA,NA,NA,10.14529/hsm170401
70,70,NA,NA,NA,NA,10.1139/apnm-2018-0427
71,71,NA,NA,NA,NA,10.1016/j.ijnurstu.2019.103418
72,72,NA,NA,NA,NA,10.1007/s00421-018-3993-x
73,73,NA,NA,NA,NA,10.1111/sms.13886
74,74,r,m,XXX,r,10.3389/fphys.2019.00807
75,75,NA,NA,NA,NA,10.12873/393robles
76,76,NA,NA,NA,NA,10.1519/JSC.0000000000003837
77,77,NA,NA,NA,NA,10.1016/j.jtherbio.2018.10.004
78,78,r,r,r,r,10.3389/fphys.2020.596351
79,79,m,m,m,m,10.1177/1074248418778551
80,80,NA,NA,NA,NA,10.1016/j.jsams.2017.08.005
81,81,NA,NA,NA,NA,10.1016/j.ssci.2021.105328
82,82,r,NA,XXX,r,10.18632/aging.104112
83,83,NA,NA,NA,NA,10.1111/sms.12854
84,84,NA,NA,NA,NA,10.1155/2020/2073803
85,85,NA,NA,NA,NA,10.1080/00140139.2018.1497207
86,86,NA,NA,NA,NA,10.1016/j.bone.2021.116102
87,87,NA,NA,NA,NA,10.1111/anec.12521
88,88,NA,NA,NA,NA,10.1007/s00438-019-01639-8
89,89,NA,NA,NA,NA,10.1139/apnm-2020-0307
90,90,NA,NA,NA,NA,10.1016/j.physbeh.2020.113110
91,91,NA,NA,NA,NA,10.31901/24566330.2020/20.03.759
92,92,NA,NA,NA,NA,10.1016/j.annepidem.2017.08.011
93,93,m,m,m,m,10.1080/02640414.2020.1756682
94,94,NA,NA,NA,NA,10.3390/app9030589
95,95,NA,NA,NA,NA,10.3390/nu9080820
96,96,r,r,r,r,10.1123/jsr.2019-0175
97,97,NA,NA,NA,NA,10.1111/joic.12531
98,98,NA,NA,NA,NA,10.1002/hpja.2
99,99,NA,m,XXX,NA,10.1590/1806-9282.66.5.600
100,100,m,m,m,m,10.3390/ijerph15122793
101,101,m,m,m,m,10.1111/sms.13836
102,102,NA,NA,NA,NA,10.1016/j.jpsychires.2019.03.011
103,103,m,NA,XXX,m,10.3390/ijerph18168869
104,104,NA,NA,NA,NA,10.33549/physiolres.934114
105,105,NA,NA,NA,NA,10.1186/s13102-021-00375-0
106,106,NA,NA,NA,NA,10.3389/fphys.2020.579835
107,107,h,h,h,h,10.1080/14017431.2019.1658893
108,108,NA,NA,NA,NA,10.1016/j.jshs.2017.01.009
109,109,NA,NA,NA,NA,10.1123/ijspp.2020-0923
110,110,NA,NA,NA,NA,10.1123/ijsnem.2020-0265
111,111,NA,NA,NA,NA,10.1152/japplphysiol.00131.2019
112,112,NA,NA,NA,NA,10.3389/fphys.2017.00175
113,113,NA,NA,NA,NA,10.3233/IES-192229
114,114,NA,NA,NA,NA,10.1194/jlr.M091942
115,115,h,h,h,h,10.1038/s41598-020-68455-8
116,116,m,m,m,m,10.1093/milmed/usab421
117,117,NA,NA,NA,NA,10.1016/j.resp.2016.12.003
118,118,NA,NA,NA,NA,10.1371/journal.pone.0223449
119,119,NA,NA,NA,NA,10.1016/j.heliyon.2020.e05427
120,120,NA,NA,NA,NA,10.3390/sports7040082
121,121,NA,NA,NA,NA,10.1080/17461391.2020.1867650
122,122,m,m,m,m,10.1080/07420528.2017.1325896
123,123,NA,NA,NA,NA,10.1177/2047487318808014
124,124,NA,NA,NA,NA,10.1371/journal.pone.0170060
125,125,NA,NA,NA,NA,10.23736/S0022-4707.21.12342-4
126,126,NA,NA,NA,NA,10.1186/s12970-020-00405-1
127,127,NA,NA,NA,NA,10.3389/fspor.2019.00017
128,128,NA,NA,NA,NA,10.1016/j.jelekin.2019.06.006
129,129,NA,NA,NA,NA,10.2196/mhealth.7437
130,130,NA,m,XXX,m,10.1519/JSC.0000000000003417
131,131,NA,NA,NA,NA,10.1097/JOM.0000000000001873
132,132,NA,m,XXX,NA,10.3389/fphys.2021.665462
133,133,NA,NA,NA,NA,10.3390/app11178062
134,134,NA,m,XXX,NA,10.1111/sms.12859
135,135,NA,NA,NA,NA,10.1186/s13098-017-0300-7
136,136,NA,NA,NA,NA,10.1155/2018/4081802
137,137,NA,NA,NA,NA,10.1515/hukin-2017-0055
138,138,NA,m,XXX,NA,10.1123/ijspp.2020-0483
139,139,NA,NA,NA,NA,10.1080/20018525.2018.1468714
140,140,NA,NA,NA,NA,10.1097/JSM.0000000000000331
141,141,NA,NA,NA,NA,10.3389/fphys.2017.00690
142,142,NA,NA,NA,NA,10.14198/jhse.2017.124.05
143,143,NA,NA,NA,NA,10.1007/s00421-020-04334-4
144,144,NA,NA,NA,NA,10.1177/2047487318807279
145,145,NA,NA,NA,NA,10.18869/acadpub.aassjournal.5.1.7
146,146,NA,NA,NA,NA,10.1016/j.jsams.2018.02.005
147,147,NA,NA,NA,NA,10.1007/s40519-016-0356-7
148,148,NA,m,XXX,NA,10.1007/s40618-020-01426-y
149,149,m,m,m,m,10.1097/JOM.0000000000002199
150,150,m,NA,XXX,m,10.23736/S0022-4707.17.07199-7
151,151,NA,NA,NA,NA,10.23736/S0022-4707.17.07845-8
152,152,m,m,m,m,10.3233/WOR-203263
153,153,NA,NA,NA,NA,10.1186/s13102-021-00231-1
154,154,NA,NA,NA,NA,10.1111/jsr.12836
155,155,NA,NA,NA,NA,10.2196/10338
156,156,NA,NA,NA,NA,10.1016/j.clnu.2016.09.026
157,157,NA,NA,NA,NA,10.3389/fphys.2018.01485
158,158,NA,NA,NA,NA,10.3390/biom9100630
159,159,NA,NA,NA,NA,10.5114/biolsport.2018.77828
160,160,NA,NA,NA,NA,10.3390/ijerph18094606
161,161,NA,NA,NA,NA,10.1007/s00125-020-05329-8
162,162,NA,m,XXX,NA,10.1371/journal.pone.0237388
163,163,NA,NA,NA,NA,10.1016/j.jtherbio.2019.06.006
164,164,NA,NA,NA,NA,10.3390/ijerph17093190
165,165,m,m,m,m,10.1016/j.ypmed.2019.105799
166,166,NA,NA,NA,NA,10.23736/S0022-4707.20.10945-9
167,167,NA,NA,NA,NA,10.1080/02640414.2019.1601149
168,168,NA,NA,NA,NA,10.1016/j.scispo.2018.12.010
169,169,NA,NA,NA,NA,10.3390/sports8090116
170,170,NA,NA,NA,NA,10.3390/ijerph16162845
171,171,NA,NA,NA,NA,10.1016/j.eujim.2019.05.004
172,172,NA,NA,NA,NA,10.3389/fnut.2018.00086
173,173,NA,NA,NA,NA,10.3390/ijerph18105050
174,174,r,NA,XXX,r,10.1016/j.pcad.2017.03.002
175,175,NA,NA,NA,NA,10.1186/s12970-020-00392-3
176,176,NA,NA,NA,NA,10.1249/MSS.0000000000001353
177,177,NA,NA,NA,NA,10.14529/hsm210307
178,178,NA,NA,NA,NA,10.3389/fphys.2018.01682
179,179,NA,NA,NA,NA,10.1113/JP279161
180,180,r,r,r,r,10.1519/SSC.0000000000000542
181,181,NA,NA,NA,NA,10.1210/jc.2018-01056
182,182,NA,m,XXX,NA,10.1590/1517-869220172303156004
183,183,NA,NA,NA,NA,10.1016/j.trci.2018.02.003
184,184,NA,NA,NA,NA,10.3390/ijerph17113943
185,185,r,r,r,r,10.1007/s11695-019-03731-9
186,186,NA,NA,NA,NA,10.3390/nu12082315
187,187,NA,NA,NA,NA,10.1371/journal.pone.0166299
188,188,NA,m,XXX,NA,10.2478/hukin-2019-0027
189,189,NA,NA,NA,NA,10.23736/S0022-4707.19.10225-3
190,190,NA,NA,NA,NA,10.1139/apnm-2021-0383
191,191,NA,NA,NA,NA,10.3390/nu14010149
192,192,NA,NA,NA,NA,10.12659/MSM.923015
193,193,m,m,m,m,10.23736/S0022-4707.16.06620-2
194,194,NA,NA,NA,NA,10.3390/sports5020025
195,195,NA,h,XXX,h,10.1620/tjem.244.93
196,196,NA,NA,NA,NA,10.3390/ijerph18199962
197,197,NA,NA,NA,NA,10.1007/s00408-017-0039-9
198,198,NA,NA,NA,NA,10.3390/ijerph18030870
199,199,NA,NA,NA,NA,10.1016/j.orcp.2020.08.008
200,200,NA,NA,NA,NA,10.23736/S0022-4707.16.06358-1
201,201,NA,NA,NA,NA,10.12968/ijtr.2018.0061
202,202,NA,h,XXX,h,10.1242/jeb.189993
203,203,NA,NA,NA,NA,10.1123/ijspp.2019-1001
204,204,NA,NA,NA,NA,10.1589/jpts.32.79
205,205,NA,NA,NA,NA,10.1038/s41598-022-05783-x
206,206,m,m,m,m,10.1093/gerona/glz142
207,207,NA,NA,NA,NA,10.1186/s12970-019-0299-2
208,208,NA,m,XXX,m,10.1080/10253890.2016.1260543
209,209,NA,NA,NA,NA,10.1080/02701367.2020.1817293
210,210,m,m,m,m,10.1186/s12968-021-00796-3
211,211,NA,NA,NA,NA,10.1016/j.sleep.2019.07.007
212,212,NA,NA,NA,NA,10.1080/10400435.2018.1529005
213,213,NA,NA,NA,NA,10.1123/ijspp.2016-0093
214,214,NA,NA,NA,NA,10.2337/dc16-2347
215,215,NA,NA,NA,NA,10.3389/fphys.2019.01204
216,216,NA,NA,NA,NA,10.14712/18059694.2021.20
217,217,m,m,m,m,10.1080/02640414.2018.1558509
218,218,NA,NA,NA,NA,10.23736/S0022-4707.20.10380-3
219,219,NA,NA,NA,NA,10.5606/tftrd.2017.27790
220,220,NA,NA,NA,NA,10.1017/thg.2020.58
221,221,m,m,m,m,10.3389/fphys.2018.01734
222,222,NA,m,XXX,m,10.3390/sports8040042
223,223,NA,NA,NA,NA,10.1055/a-1510-9135
224,224,h,h,h,h,10.1186/s12872-019-1090-7
225,225,NA,NA,NA,NA,10.1111/cpf.12299
226,226,NA,NA,NA,NA,10.29359/BJHPA.13.Spec.Iss1.06
227,227,h,h,h,h,10.1007/s00223-016-0227-2
228,228,NA,NA,NA,NA,10.14198/jhse.2018.13.Proc2.19
229,229,NA,NA,NA,NA,10.1152/japplphysiol.01122.2017
230,230,NA,NA,NA,NA,10.23736/S0022-4707.17.06853-0
231,231,NA,NA,NA,NA,10.23736/S0022-4707.17.06883-9
232,232,NA,NA,NA,NA,10.1186/s12970-020-00356-7
233,233,r,r,r,r,10.1249/JES.0000000000000150
234,234,NA,NA,NA,NA,10.1152/japplphysiol.00585.2018
235,235,NA,NA,NA,NA,10.1249/MSS.0000000000001543
236,236,NA,NA,NA,NA,10.1002/pmrj.12507
237,237,NA,NA,NA,NA,10.1123/ijspp.2019-0843
238,238,r,r,r,r,10.1007/s00421-017-3578-0
239,239,NA,NA,NA,NA,10.3390/sports8120163
240,240,NA,NA,NA,NA,10.1007/978-3-030-34461-0_26
241,241,NA,NA,NA,NA,10.1080/02701367.2020.1756196
242,242,NA,m,XXX,m,10.1186/s12876-019-0952-x
243,243,NA,NA,NA,NA,10.1016/j.nut.2018.01.015
244,244,NA,NA,NA,NA,10.1152/japplphysiol.00229.2021
245,245,NA,NA,NA,NA,10.1016/j.neuroscience.2019.12.008
246,246,NA,NA,NA,NA,10.1249/MSS.0000000000001773
247,247,h,h,h,h,10.1113/EP089516
248,248,NA,m,XXX,NA,10.3390/ijerph17186714
249,249,NA,NA,NA,NA,10.1016/j.nut.2018.06.005
250,250,r,r,r,r,10.1007/s11538-016-0230-9
251,251,NA,NA,NA,NA,10.1186/s12872-021-02429-0
252,252,NA,NA,NA,NA,10.5812/ircmj.100227
253,253,NA,NA,NA,NA,10.5114/biolsport.2020.98625
254,254,NA,NA,NA,NA,10.1249/MSS.0000000000002181
255,255,NA,NA,NA,NA,10.1590/1517-869220182406101651
256,256,m,m,m,m,10.1007/s11332-021-00755-6
257,257,NA,NA,NA,NA,10.1155/2019/3081029
258,258,m,m,m,m,10.23736/S0022-4707.17.07084-0
259,259,r,r,r,r,10.1113/EP089565
260,260,NA,NA,NA,NA,10.3389/fphys.2020.00812
261,261,NA,NA,NA,NA,10.1097/GME.0000000000000762
262,262,NA,l,XXX,l,10.1016/j.rmr.2017.09.010
263,263,NA,NA,NA,NA,10.1177/17479541211072225
264,264,NA,NA,NA,NA,10.1371/journal.pone.0224948
265,265,m,m,m,m,10.1016/j.jocd.2018.09.008
266,266,NA,NA,NA,NA,10.1007/s00246-018-1913-9
267,267,NA,NA,NA,NA,10.2147/IJWH.S344233
268,268,NA,NA,NA,NA,10.1016/j.scispo.2018.01.003
269,269,NA,NA,NA,NA,10.1123/ijspp.2018-0539
270,270,NA,m,XXX,NA,10.1080/23328940.2020.1761577
271,271,NA,NA,NA,NA,10.1186/s12889-017-4712-y
272,272,m,NA,XXX,m,10.12669/pjms.333.12294
273,273,NA,NA,NA,NA,10.4103/2045-9912.304222
274,274,NA,NA,NA,NA,10.3390/ijerph19010563
275,275,NA,m,XXX,NA,10.1080/17461391.2021.2001575
276,276,NA,NA,NA,NA,10.1371/journal.pone.0242551
277,277,NA,NA,NA,NA,10.1080/25787489.2020.1810452
278,278,NA,NA,NA,NA,10.14529/hsm190308
279,279,NA,NA,NA,NA,10.1249/MSS.0000000000001099
280,280,NA,NA,NA,NA,10.1123/pes.2016-0199
281,281,NA,NA,NA,NA,10.3390/biology9110383
282,282,NA,NA,NA,NA,10.1080/02640414.2017.1346269
283,283,NA,NA,NA,NA,10.1186/s12970-019-0284-9
284,284,m,m,m,m,10.15621/ijphy/2017/v4i5/159422
285,285,NA,NA,NA,NA,10.1590/1517-869220192504189259
286,286,NA,NA,NA,NA,10.2196/28124
287,287,NA,NA,NA,NA,10.1123/ijspp.2018-0099
288,288,r,r,r,r,10.1016/j.jchf.2021.06.012
289,289,r,r,r,r,10.1016/j.conctc.2021.100766
290,290,r,r,r,r,10.23736/S0026-4954.17.01781-3
291,291,NA,NA,NA,NA,10.14814/phy2.14426
292,292,NA,NA,NA,NA,10.1007/s00421-019-04179-6
293,293,NA,NA,NA,NA,10.1080/07420528.2019.1592184
294,294,m,m,m,m,10.1192/bjo.2018.45
295,295,NA,NA,NA,NA,10.5606/tftrd.2021.6533
296,296,NA,NA,NA,NA,10.3164/jcbn.17-36
297,297,r,r,r,r,10.1123/ijspp.2016-0816
298,298,NA,m,XXX,NA,10.1038/s41598-020-77358-7
299,299,m,m,m,m,10.1016/j.biopen.2017.12.001
300,300,NA,NA,NA,NA,10.1515/hukin-2017-0040
301,301,NA,NA,NA,NA,10.1016/j.jpsychires.2018.03.001
302,302,NA,NA,NA,NA,10.3390/ijerph18179193
303,303,NA,l,XXX,l,10.20960/nh.02381
304,304,NA,NA,NA,NA,10.5603/ARM.a2020.0129
305,305,NA,NA,NA,NA,10.1371/journal.pone.0234507
306,306,NA,NA,NA,NA,10.1210/clinem/dgac091
307,307,NA,NA,NA,NA,10.1519/JSC.0000000000003297
308,308,m,NA,XXX,NA,10.1186/s12931-020-01527-5
309,309,NA,NA,NA,NA,10.1080/02640414.2017.1329548
310,310,NA,NA,NA,NA,10.23736/S0022-4707.20.10918-6
311,311,NA,NA,NA,NA,10.1002/cnr2.1497
312,312,m,m,m,m,10.5114/biolsport.2020.96319
313,313,NA,NA,NA,NA,10.1249/MSS.0000000000002842
314,314,NA,NA,NA,NA,10.1519/JSC.0000000000002670
315,315,m,m,m,m,10.1002/pbc.28339
316,316,NA,NA,NA,NA,10.1007/s00421-018-3908-x
317,317,r,r,r,r,10.1007/s00421-017-3756-0
318,318,NA,NA,NA,NA,10.23736/S0025-7826.17.03010-1
319,319,NA,NA,NA,NA,10.1111/cpf.12308
320,320,NA,NA,NA,NA,10.1371/journal.pone.0245501
321,321,NA,NA,NA,NA,10.1519/JSC.0000000000002363
322,322,m,NA,XXX,NA,10.51371/issn.1840-2976.2021.15.2.12
323,323,NA,NA,NA,NA,10.3389/fimmu.2021.806400
324,324,m,m,m,m,10.23751/pn.v22i1-S.9762
325,325,NA,NA,NA,NA,10.1093/ehjci/jey050
326,326,NA,NA,NA,NA,10.1123/ijspp.2019-0507
327,327,NA,NA,NA,NA,10.1016/j.diabres.2018.10.001
328,328,m,m,m,m,10.1016/j.jsams.2017.03.018
329,329,NA,NA,NA,NA,10.1113/EP086644
330,330,NA,NA,NA,NA,10.1080/02701367.2019.1599800
331,331,NA,NA,NA,NA,10.1519/JSC.0000000000004113
332,332,NA,NA,NA,NA,10.3357/AMHP.5624.2020
333,333,NA,NA,NA,NA,10.1152/ajpendo.00126.2018
334,334,NA,NA,NA,NA,10.1186/s40798-018-0160-1
335,335,NA,NA,NA,NA,10.1519/JSC.0000000000002418
336,336,NA,NA,NA,NA,10.1007/s00421-021-04632-5
337,337,NA,NA,NA,NA,10.5535/arm.2017.41.6.1047
338,338,NA,NA,NA,NA,10.3390/nu10111809
339,339,m,m,m,m,10.1016/j.nut.2021.111445
340,340,NA,NA,NA,NA,10.1371/journal.pone.0199509
341,341,NA,NA,NA,NA,10.1136/bmjdrc-2017-000414
342,342,NA,NA,NA,NA,10.1007/s00421-021-04676-7
343,343,NA,NA,NA,NA,10.1515/hukin-2017-0098
344,344,NA,NA,NA,NA,10.1139/apnm-2020-0474
345,345,NA,NA,NA,NA,10.1017/S1047951121004054
346,346,NA,NA,NA,NA,10.1123/ijspp.2020-0747
347,347,NA,NA,NA,NA,10.1007/s00421-020-04522-2
348,348,NA,m,XXX,NA,10.1016/j.amjms.2022.02.006
349,349,m,h,XXX,m,10.1186/s13045-019-0841-3
350,350,m,m,m,m,10.1080/07853890.2016.1252056
351,351,NA,NA,NA,NA,10.1123/ijsnem.2019-0309
352,352,NA,NA,NA,NA,10.1016/j.cyto.2018.01.018
353,353,NA,NA,NA,NA,10.20960/nh.02615
354,354,NA,NA,NA,NA,10.1186/s12888-019-2156-x
355,355,NA,NA,NA,NA,10.1007/s00424-018-2127-y
356,356,NA,NA,NA,NA,10.1016/j.eclinm.2020.100683
357,357,r,r,r,r,10.1113/JP273218
358,358,NA,NA,NA,NA,10.1016/j.exger.2018.04.022
359,359,NA,m,XXX,m,10.11138/mltj/2018.8.4.520
360,360,NA,NA,NA,NA,10.1097/JOM.0000000000001690
361,361,m,m,m,m,10.2490/prm.20170008
362,362,NA,NA,NA,NA,10.3390/antiox9090879
363,363,m,m,m,m,10.1002/fsn3.529
364,364,NA,NA,NA,NA,10.1123/ijspp.2018-0359
365,365,m,m,m,m,10.1177/2047487317720796
366,366,NA,NA,NA,NA,10.1080/02701367.2019.1593922
367,367,NA,NA,NA,NA,10.15562/bmj.v10i3.2741
368,368,NA,m,XXX,NA,10.18869/acadpub.aassjournal.5.1.25
369,369,m,m,m,m,10.1080/15614263.2021.1956317
370,370,NA,NA,NA,NA,10.2196/26006
371,371,r,r,r,r,10.1152/ajpheart.00697.2019
372,372,NA,NA,NA,NA,10.1007/s00421-017-3743-5
373,373,NA,NA,NA,NA,10.1007/s00394-017-1525-9
374,374,NA,NA,NA,NA,10.1123/ijspp.2018-0433
375,375,NA,NA,NA,NA,10.3390/jcm11041086
376,376,NA,NA,NA,NA,10.3389/fphys.2018.01320
377,377,r,NA,XXX,r,10.1007/s00421-019-04222-6
378,378,NA,NA,NA,NA,10.1002/oby.23252
379,379,NA,NA,NA,NA,10.1002/ehf2.13106
380,380,NA,NA,NA,NA,10.1152/japplphysiol.01059.2020
381,381,NA,NA,NA,NA,10.1139/apnm-2021-0080
382,382,NA,NA,NA,NA,10.3390/ijerph18052782
383,383,NA,NA,NA,NA,10.1111/sms.13326
384,384,NA,NA,NA,NA,10.1123/ijspp.2018-0818
385,385,NA,NA,NA,NA,10.1080/07420528.2018.1454938
386,386,NA,NA,NA,NA,10.1139/apnm-2019-0750
387,387,NA,NA,NA,NA,10.3390/jfmk4030044
388,388,h,h,h,h,10.1113/JP277645
389,389,NA,NA,NA,NA,10.3920/CEP190078
390,390,NA,m,XXX,NA,10.5672/apunts.2014-0983.es.(2021/1).143.02
391,391,m,h,XXX,m,10.1186/s13046-021-02211-2
392,392,NA,NA,NA,NA,10.1519/JSC.0000000000003423
393,393,NA,NA,NA,NA,10.1016/j.resp.2020.103488
394,394,NA,NA,NA,NA,10.7717/peerj.5219
395,395,NA,NA,NA,NA,10.1016/j.dsx.2018.11.047
396,396,NA,NA,NA,NA,10.1139/apnm-2017-0207
397,397,NA,NA,NA,NA,10.1016/j.apunts.2016.07.001
398,398,NA,NA,NA,NA,10.3390/cells8091045
399,399,NA,NA,NA,NA,10.1111/ane.12748
400,400,m,h,XXX,m,10.1038/s41598-017-18658-3
401,401,m,m,m,m,10.3390/su12083459
402,402,m,m,m,m,10.3233/WOR-205218
403,403,NA,NA,NA,NA,10.1016/j.jsams.2017.10.037
404,404,NA,NA,NA,NA,10.1111/cpf.12469
405,405,NA,NA,NA,NA,10.1519/JSC.0000000000003178
406,406,m,m,m,m,10.3233/WOR-182790
407,407,NA,r,XXX,r,10.1016/j.vph.2017.11.005
408,408,NA,NA,NA,NA,10.1186/s12968-021-00789-2
409,409,NA,NA,NA,NA,10.1519/JSC.0000000000002852
410,410,m,m,m,m,10.21091/mppa.2021.2012
411,411,NA,NA,NA,NA,10.1519/JSC.0000000000002769
412,412,m,h,XXX,m,10.1016/j.tox.2019.152283
413,413,NA,NA,NA,NA,10.1002/jmd2.12232
414,414,r,r,r,r,10.1007/978-981-10-4307-9_4
415,415,m,m,m,m,10.1177/1559325818773000
416,416,r,r,r,r,10.1055/s-0043-111850
417,417,r,m,XXX,r,10.3390/ijerph18063040
418,418,m,m,m,m,10.1590/1984-0462/;2019;37;1;00017
419,419,NA,NA,NA,NA,10.1007/s00421-021-04866-3
420,420,NA,NA,NA,NA,10.21037/mhealth.2019.09.07
421,421,m,m,m,m,10.5114/biolsport.2021.100359
422,422,NA,NA,NA,NA,10.1088/2057-1976/aab814
423,423,NA,NA,NA,NA,10.1038/s41598-020-79355-2
424,424,NA,NA,NA,NA,10.2147/COPD.S225566
425,425,NA,NA,NA,NA,10.1016/j.puhe.2018.02.014
426,426,NA,m,XXX,NA,10.1055/s-0043-115122
427,427,NA,NA,NA,NA,10.1515/bhk-2017-0017
428,428,NA,NA,NA,NA,10.3389/fphys.2020.571221
429,429,NA,NA,NA,NA,10.3390/ijerph14060664
430,430,r,r,r,r,10.1242/jeb.164327
431,431,NA,NA,NA,NA,10.1038/srep42485
432,432,NA,NA,NA,NA,10.3389/fphys.2021.726783
433,433,NA,NA,NA,NA,10.1123/ijsnem.2021-0013
434,434,h,h,h,h,10.1016/j.neuroscience.2020.01.005
435,435,NA,NA,NA,NA,10.1111/dom.12797
436,436,NA,NA,NA,NA,10.1152/japplphysiol.01082.2017
437,437,NA,NA,NA,NA,10.1113/EP088639
438,438,NA,NA,NA,NA,10.1136/bmjsem-2017-000302
439,439,r,NA,XXX,r,10.1088/1361-6579/abbb6e
440,440,r,r,r,r,10.1097/MED.0000000000000567
441,441,NA,NA,NA,NA,10.20463/jenb.2018.0030
442,442,NA,NA,NA,NA,10.1016/j.physbeh.2017.02.035
443,443,NA,NA,NA,NA,10.2147/DMSO.S197642
444,444,r,h,XXX,h,10.1152/ajpregu.00321.2018
445,445,NA,NA,NA,NA,10.1210/jc.2017-00146
446,446,NA,NA,NA,NA,10.1007/s00421-017-3540-1
447,447,NA,NA,NA,NA,10.1080/19338244.2019.1657059
448,448,NA,NA,NA,NA,10.15561/18189172.2017.0208
449,449,NA,m,XXX,NA,10.3390/ijerph182010653
450,450,NA,NA,NA,NA,10.23736/S0022-4707.18.09365-9
451,451,h,h,h,h,10.1371/journal.pone.0208703
452,452,NA,NA,NA,NA,10.1371/journal.pone.0249671
453,453,NA,NA,NA,NA,10.1007/s00421-017-3656-3
454,454,NA,NA,NA,NA,10.1007/s00421-020-04535-x
455,455,NA,NA,NA,NA,10.15280/jlm.2020.10.1.21
456,456,m,m,m,m,10.3390/nu12061821
457,457,NA,NA,NA,NA,10.1515/ijamh-2016-0132
458,458,NA,NA,NA,NA,10.1080/02701367.2019.1653431
