sid;fulltext_exclusion;exclusion_note;doi
153;NA;;10.1186/s13102-021-00231-1
154;o;no description;10.1111/jsr.12836
155;NA;;10.2196/10338
156;m;r? Zweitverwertung?;10.1016/j.clnu.2016.09.026
157;NA;;10.3389/fphys.2018.01485
158;NA;;10.3390/biom9100630
159;NA;c?;10.5114/biolsport.2018.77828
160;m;estimated VO2max;10.3390/ijerph18094606
161;NA;;10.1007/s00125-020-05329-8
162;NA;;10.1371/journal.pone.0237388
163;NA;;10.1016/j.jtherbio.2019.06.006
164;NA;;10.3390/ijerph17093190
166;t;;10.23736/S0022-4707.20.10945-9
167;NA;;10.1080/02640414.2019.1601149
168;NA;;10.1016/j.scispo.2018.12.010
169;NA;;10.3390/sports8090116
170;NA;;10.3390/ijerph16162845
171;e;NA?;10.1016/j.eujim.2019.05.004
172;NA;;10.3389/fnut.2018.00086
173;NA;;10.3390/ijerph18105050
175;c;swimming test;10.1186/s12970-020-00392-3
176;NA;;10.1249/MSS.0000000000001353
177;l;;10.14529/hsm210307
178;NA;;10.3389/fphys.2018.01682
179;NA;;10.1113/JP279161
181;o;no description;10.1210/jc.2018-01056
182;NA;;10.1590/1517-869220172303156004
183;NA;;10.1016/j.trci.2018.02.003
184;NA;;10.3390/ijerph17113943
186;NA;;10.3390/nu12082315
187;NA;o? no description;10.1371/journal.pone.0166299
188;m;estimated VO2max;10.2478/hukin-2019-0027
189;t;;10.23736/S0022-4707.19.10225-3
190;NA;;10.1139/apnm-2021-0383
191;NA;;10.3390/nu14010149
192;m;estimated VO2max;10.12659/MSM.923015
194;NA;;10.3390/sports5020025
196;o;no description;10.3390/ijerph18199962
197;NA;r? Zweitverwertung?;10.1007/s00408-017-0039-9
198;NA;;10.3390/ijerph18030870
199;NA;;10.1016/j.orcp.2020.08.008
200;NA;;10.23736/S0022-4707.16.06358-1
201;o;no description;10.12968/ijtr.2018.0061
203;m;estimated VO2max;10.1123/ijspp.2019-1001
204;NA;;10.1589/jpts.32.79
205;NA;;10.1038/s41598-022-05783-x
207;NA;;10.1186/s12970-019-0299-2
209;NA;;10.1080/02701367.2020.1817293
211;NA;;10.1016/j.sleep.2019.07.007
212;NA;;10.1080/10400435.2018.1529005
213;d;;10.1123/ijspp.2016-0093
214;NA;o? no protocol mentioned;10.2337/dc16-2347
215;NA;o? no description;10.3389/fphys.2019.01204
216;NA;;10.14712/18059694.2021.20
218;NA;c? bei manchen Gruppen knapp;10.23736/S0022-4707.20.10380-3
219;l;;10.5606/tftrd.2017.27790
220;NA;;10.1017/thg.2020.58
223;NA;;10.1055/a-1510-9135
225;NA;;10.1111/cpf.12299
226;NA;;10.29359/BJHPA.13.Spec.Iss1.06
228;NA;YYIR2;10.14198/jhse.2018.13.Proc2.19
229;NA;;10.1152/japplphysiol.01122.2017
230;NA;;10.23736/S0022-4707.17.06853-0
231;NA;;10.23736/S0022-4707.17.06883-9
232;NA;;10.1186/s12970-020-00356-7
234;NA;;10.1152/japplphysiol.00585.2018
235;NA;;10.1249/MSS.0000000000001543
236;e;;10.1002/pmrj.12507
237;NA;;10.1123/ijspp.2019-0843
239;NA;o? no description;10.3390/sports8120163
240;NA;;10.1007/978-3-030-34461-0_26
241;NA;;10.1080/02701367.2020.1756196
243;m;h? human cells;10.1016/j.nut.2018.01.015
244;t;;10.1152/japplphysiol.00229.2021
245;NA;;10.1016/j.neuroscience.2019.12.008
246;NA;;10.1249/MSS.0000000000001773
248;NA;;10.3390/ijerph17186714
249;e;submaximal exercise test;10.1016/j.nut.2018.06.005
251;NA;;10.1186/s12872-021-02429-0
252;NA;o? wierd exercises;10.5812/ircmj.100227
253;NA;;10.5114/biolsport.2020.98625
254;NA;;10.1249/MSS.0000000000002181
255;o;no description;10.1590/1517-869220182406101651
257;NA;;10.1155/2019/3081029
260;NA;;10.3389/fphys.2020.00812
261;m;estimated VO2max;10.1097/GME.0000000000000762
263;m;estimated VO2max;10.1177/17479541211072225
264;NA;;10.1371/journal.pone.0224948
266;m;estimated VO2max;10.1007/s00246-018-1913-9
267;NA;;10.2147/IJWH.S344233
268;m;estimated VO2max;10.1016/j.scispo.2018.01.003
269;NA;d?;10.1123/ijspp.2018-0539
270;m;;10.1080/23328940.2020.1761577
271;m;estimated VO2max;10.1186/s12889-017-4712-y
273;m;;10.4103/2045-9912.304222
274;NA;d?;10.3390/ijerph19010563
275;NA;;10.1080/17461391.2021.2001575
276;NA;;10.1371/journal.pone.0242551
277;NA;;10.1080/25787489.2020.1810452
278;l;;10.14529/hsm190308
279;NA;;10.1249/MSS.0000000000001099
280;NA;;10.1123/pes.2016-0199
281;NA;;10.3390/biology9110383
282;NA;;10.1080/02640414.2017.1346269
283;NA;;10.1186/s12970-019-0284-9
285;NA;;10.1590/1517-869220192504189259
286;NA;;10.2196/28124
287;NA;;10.1123/ijspp.2018-0099
291;NA;;10.14814/phy2.14426
292;NA;;10.1007/s00421-019-04179-6
293;NA;;10.1080/07420528.2019.1592184
295;NA;o? protocol?;10.5606/tftrd.2021.6533
296;NA;;10.3164/jcbn.17-36
298;m;estimated VO2max;10.1038/s41598-020-77358-7
300;NA;;10.1515/hukin-2017-0040
301;e;NA?;10.1016/j.jpsychires.2018.03.001
302;NA;;10.3390/ijerph18179193
304;NA;;10.5603/ARM.a2020.0129
305;NA;;10.1371/journal.pone.0234507
306;NA;;10.1210/clinem/dgac091
307;NA;;10.1519/JSC.0000000000003297
308;m;;10.1186/s12931-020-01527-5
309;NA;;10.1080/02640414.2017.1329548
310;t;;10.23736/S0022-4707.20.10918-6
311;m;estimated VO2max;10.1002/cnr2.1497
313;NA;;10.1249/MSS.0000000000002842
314;NA;;10.1519/JSC.0000000000002670
316;NA;estimation methods;10.1007/s00421-018-3908-x
318;NA;e?;10.23736/S0025-7826.17.03010-1
319;NA;;10.1111/cpf.12308
320;m;estimated VO2max;10.1371/journal.pone.0245501
321;NA;plus shuttle run;10.1519/JSC.0000000000002363
322;NA;e?;10.51371/issn.1840-2976.2021.15.2.12
323;NA;;10.3389/fimmu.2021.806400
325;o;no description;10.1093/ehjci/jey050
326;o;no protocol mentioned;10.1123/ijspp.2019-0507
327;o;no protocol mentioned;10.1016/j.diabres.2018.10.001
329;NA;;10.1113/EP086644
330;NA;;10.1080/02701367.2019.1599800
331;NA;d?;10.1519/JSC.0000000000004113
332;NA;;10.3357/AMHP.5624.2020
333;NA;d?;10.1152/ajpendo.00126.2018
334;NA;;10.1186/s40798-018-0160-1
335;NA;d?;10.1519/JSC.0000000000002418
336;NA;;10.1007/s00421-021-04632-5
337;o;no description;10.5535/arm.2017.41.6.1047
338;m;swimming test;10.3390/nu10111809
340;NA;;10.1371/journal.pone.0199509
341;m;estimated VO2max;10.1136/bmjdrc-2017-000414
342;NA;;10.1007/s00421-021-04676-7
343;m;shuttle run;10.1515/hukin-2017-0098
344;NA;;10.1139/apnm-2020-0474
345;t;;10.1017/S1047951121004054
346;NA;;10.1123/ijspp.2020-0747
347;NA;;10.1007/s00421-020-04522-2
348;NA;;10.1016/j.amjms.2022.02.006
351;NA;d?;10.1123/ijsnem.2019-0309
352;r;Zweitverwertung;10.1016/j.cyto.2018.01.018
353;l;;10.20960/nh.02615
354;m;estimated VO2max;10.1186/s12888-019-2156-x
355;NA;;10.1007/s00424-018-2127-y
356;e;encouraged to reach…;10.1016/j.eclinm.2020.100683
358;NA;;10.1016/j.exger.2018.04.022
360;NA;d?;10.1097/JOM.0000000000001690
362;NA;d?;10.3390/antiox9090879
364;NA;;10.1123/ijspp.2018-0359
366;m;also e;10.1080/02701367.2019.1593922
367;NA;;10.15562/bmj.v10i3.2741
368;o;no description;10.18869/acadpub.aassjournal.5.1.25
370;NA;estimation methods;10.2196/26006
372;NA;;10.1007/s00421-017-3743-5
373;NA;d?;10.1007/s00394-017-1525-9
374;NA;;10.1123/ijspp.2018-0433
375;NA;o? protocol?;10.3390/jcm11041086
376;NA;d?;10.3389/fphys.2018.01320
378;e;;10.1002/oby.23252
379;NA;d?;10.1002/ehf2.13106
380;t;;10.1152/japplphysiol.01059.2020
381;NA;d?;10.1139/apnm-2021-0080
382;NA;;10.3390/ijerph18052782
383;NA;;10.1111/sms.13326
384;NA;;10.1123/ijspp.2018-0818
385;m;estimated VO2max;10.1080/07420528.2018.1454938
386;NA;;10.1139/apnm-2019-0750
387;NA;estimation methods;10.3390/jfmk4030044
389;m;estimated VO2max;10.3920/CEP190078
390;NA;o? protocol?;10.5672/apunts.2014-0983.es.(2021/1).143.02
392;NA;;10.1519/JSC.0000000000003423
393;o;e?;10.1016/j.resp.2020.103488
394;NA;;10.7717/peerj.5219
395;m;estimated VO2max;10.1016/j.dsx.2018.11.047
396;NA;d?;10.1139/apnm-2017-0207
397;NA;;10.1016/j.apunts.2016.07.001
398;NA;o? cells?;10.3390/cells8091045
399;NA;d?;10.1111/ane.12748
403;NA;;10.1016/j.jsams.2017.10.037
404;NA;;10.1111/cpf.12469
405;NA;;10.1519/JSC.0000000000003178
408;r;retrospective study;10.1186/s12968-021-00789-2
409;o;protocol? e?;10.1519/JSC.0000000000002852
411;m;o? no description;10.1519/JSC.0000000000002769
413;NA;o? no description;10.1002/jmd2.12232
419;NA;;10.1007/s00421-021-04866-3
420;NA;;10.21037/mhealth.2019.09.07
422;t;;10.1088/2057-1976/aab814
423;NA;;10.1038/s41598-020-79355-2
424;e;;10.2147/COPD.S225566
425;m;estimated VO2max;10.1016/j.puhe.2018.02.014
426;NA;d?;10.1055/s-0043-115122
427;m;estimated VO2max;10.1515/bhk-2017-0017
428;NA;;10.3389/fphys.2020.571221
429;m;estimated VO2max;10.3390/ijerph14060664
431;NA;o? MAOD;10.1038/srep42485
432;NA;d?;10.3389/fphys.2021.726783
433;NA;;10.1123/ijsnem.2021-0013
435;m;estimated VO2max;10.1111/dom.12797
436;NA;;10.1152/japplphysiol.01082.2017
437;NA;d?;10.1113/EP088639
438;NA;;10.1136/bmjsem-2017-000302
441;NA;;10.20463/jenb.2018.0030
442;NA;protocol?;10.1016/j.physbeh.2017.02.035
443;NA;;10.2147/DMSO.S197642
445;NA;;10.1210/jc.2017-00146
446;NA;d?;10.1007/s00421-017-3540-1
447;NA;;10.1080/19338244.2019.1657059
448;e;NA?;10.15561/18189172.2017.0208
449;NA;;10.3390/ijerph182010653
450;NA;;10.23736/S0022-4707.18.09365-9
452;NA;;10.1371/journal.pone.0249671
453;NA;;10.1007/s00421-017-3656-3
454;NA;d? pre-protocol?;10.1007/s00421-020-04535-x
455;m;estimated VO2max;10.15280/jlm.2020.10.1.21
457;o;no description;10.1515/ijamh-2016-0132
458;NA;d?;10.1080/02701367.2019.1653431
460;NA;;10.1186/s12966-017-0513-z
461;NA;;10.1123/ijspp.2019-0031
463;NA;estimation methods;10.15537/smj.2019.8.24332
464;NA;;10.1519/JSC.0000000000003199
466;NA;;10.1007/s00421-019-04218-2
467;NA;;10.3389/fphys.2020.573660
469;NA;;10.1249/MSS.0000000000002764
470;NA;;10.1111/sms.13590
473;NA;;10.1371/journal.pone.0200517
476;NA;d?;10.1111/sms.13333
478;NA;protocol?;10.1016/j.jtherbio.2016.11.018
479;NA;;10.23736/S0393-3660.18.03987-6
481;NA;;10.1152/japplphysiol.00349.2020
482;m;estimated VO2max;10.3390/ijerph18137124
483;NA;;10.3389/fpubh.2021.666019
485;NA;;10.1007/s00421-019-04133-6
486;NA;;10.23736/S0022-4707.21.12313-8
488;t;;10.1249/01.mss.0000518994.17089.28
489;NA;;10.1002/ijc.32819
492;m;estimated VO2max;10.1016/j.anpede.2020.11.016
493;NA;d?;10.3390/sports7030063
495;NA;;10.3390/ijerph18052293
496;NA;;10.1016/j.mayocpiqo.2018.03.001
497;NA;;10.1016/j.orcp.2016.09.009
498;NA;;10.1080/02701367.2019.1571676
499;NA;;10.1186/s12986-020-00436-0
500;t;;10.1249/01.mss.0000517620.18154.8f
