PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35242827","BRCA1/2 Mutations and Cardiovascular Function in Breast Cancer Survivors","Demissei BG, Lv W, Wilcox NS, Sheline K, Smith AM, Sturgeon KM, McDermott-Roe C, Musunuru K, Lefebvre B, Domchek SM, Shah P, Ky B.","Front Cardiovasc Med. 2022 Feb 15;9:833171. doi: 10.3389/fcvm.2022.833171. eCollection 2022.","Demissei BG","Front Cardiovasc Med","2022","2022/03/04","PMC8885808","","10.3389/fcvm.2022.833171"
"35240577","Does Physical Conditioning Influence Performance Attenuation and Recovery in Gaelic Football?","Daly LS, Ó Catháin C, Kelly DT.","Int J Sports Physiol Perform. 2022 Mar 3:1-9. doi: 10.1123/ijspp.2021-0342. Online ahead of print.","Daly LS","Int J Sports Physiol Perform","2022","2022/03/03","","","10.1123/ijspp.2021-0342"
"35235811","Physiological Effects of Surgical and N95 Masks During Exercise in the Covid-19 Era","Shui L, Yang B, Tang H, Luo Y, Hu S, Zhong X, Duan J.","Am J Med Sci. 2022 Feb 27:S0002-9629(22)00078-7. doi: 10.1016/j.amjms.2022.02.006. Online ahead of print.","Shui L","Am J Med Sci","2022","2022/03/02","PMC8882259","","10.1016/j.amjms.2022.02.006"
"35235092","Effects of Cannabidiol on Exercise Physiology and Bioenergetics: A Randomised Controlled Pilot Trial","Sahinovic A, Irwin C, Doohan PT, Kevin RC, Cox AJ, Lau NS, Desbrow B, Johnson NA, Sabag A, Hislop M, Haber PS, McGregor IS, McCartney D.","Sports Med Open. 2022 Mar 2;8(1):27. doi: 10.1186/s40798-022-00417-y.","Sahinovic A","Sports Med Open","2022","2022/03/02","PMC8891421","","10.1186/s40798-022-00417-y"
"35232685","Quality of life related to health and habits: Differences between adolescents in rural and urban environments","Boraita RJ, Alsina DA, Ibort EG, Torres JMD.","An Pediatr (Engl Ed). 2022 Feb 26:S2341-2879(22)00029-1. doi: 10.1016/j.anpede.2020.11.016. Online ahead of print.","Boraita RJ","An Pediatr (Engl Ed)","2022","2022/03/02","","","10.1016/j.anpede.2020.11.016"
"35232233","Hybrid Functional Electrical Stimulation improves anaerobic threshold in first three years following spinal cord injury","Schleifer G, Solinsky R, Hamner JW, Picard G, Taylor A.","J Neurotrauma. 2022 Mar 1. doi: 10.1089/neu.2021.0459. Online ahead of print.","Schleifer G","J Neurotrauma","2022","2022/03/02","","","10.1089/neu.2021.0459"
"35230443","Body Anthropometrics and Rectal Temperature Cooling Rates in Women With Hyperthermia","Koenig FS, Miller KC, O'Connor P, Amaria N.","J Athl Train. 2022 Mar 1. doi: 10.4085/1062-6050-225-20. Online ahead of print.","Koenig FS","J Athl Train","2022","2022/03/01","","","10.4085/1062-6050-225-20"
"35230070","Male and female athletes matched for maximum oxygen uptake per skeletal muscle mass: equal but still different","Trinschek J, Zieliński J, Zarębska EA, Kusy K.","J Sports Med Phys Fitness. 2022 Mar 1. doi: 10.23736/S0022-4707.22.13605-4. Online ahead of print.","Trinschek J","J Sports Med Phys Fitness","2022","2022/03/01","","","10.23736/S0022-4707.22.13605-4"
"35228846","Effects of low-volume, high-intensity interval training on maximal oxygen consumption, body fat percentage and health-related quality of life in women with overweight: A randomized controlled trial","Arboleda-Serna VH, Patiño-Villada FA, Pinzón-Castro DA, Arango-Vélez EF.","J Exerc Sci Fit. 2022 Apr;20(2):108-112. doi: 10.1016/j.jesf.2022.01.004. Epub 2022 Feb 4.","Arboleda-Serna VH","J Exerc Sci Fit","2022","2022/03/01","PMC8851248","","10.1016/j.jesf.2022.01.004"
"35224797","Exercise in hypobaric hypoxia increases markers of intestinal injury and symptoms of gastrointestinal distress","McKenna ZJ, Fennel ZJ, Berkemeier QN, Nava RC, Amorim FT, Deyhle MR, Mermier CM.","Exp Physiol. 2022 Feb 28. doi: 10.1113/EP090266. Online ahead of print.","McKenna ZJ","Exp Physiol","2022","2022/02/28","","","10.1113/EP090266"
"35222713","Long non-coding RNA TUG1 sponges microRNA-9 to protect podocytes from high glucose-induced apoptosis and mitochondrial dysfunction via SIRT1 upregulation","Lei M, Ke G, Wang Y, Luo D, Hu Y.","Exp Ther Med. 2022 Mar;23(3):236. doi: 10.3892/etm.2022.11161. Epub 2022 Jan 24.","Lei M","Exp Ther Med","2022","2022/02/28","PMC8815052","","10.3892/etm.2022.11161"
"35216638","Feasibility of a tailored home-based exercise intervention during neoadjuvant chemotherapy in breast cancer patients","Sturgeon KM, Smith AM, Federici EH, Kodali N, Kessler R, Wyluda E, Cream LV, Ky B, Schmitz KH.","BMC Sports Sci Med Rehabil. 2022 Feb 25;14(1):31. doi: 10.1186/s13102-022-00420-6.","Sturgeon KM","BMC Sports Sci Med Rehabil","2022","2022/02/26","PMC8874298","","10.1186/s13102-022-00420-6"
"35213820","Performance Determinants in Trail-Running Races of Different Distances","Pastor FS, Besson T, Varesco G, Parent A, Fanget M, Koral J, Foschia C, Rupp T, Rimaud D, Féasson L, Millet GY.","Int J Sports Physiol Perform. 2022 Feb 25:1-8. doi: 10.1123/ijspp.2021-0362. Online ahead of print.","Pastor FS","Int J Sports Physiol Perform","2022","2022/02/25","","","10.1123/ijspp.2021-0362"
"35213603","Validation of a series of walking and stepping tests to predict maximal oxygen consumption in adults aged 18-79 years","Rowley TW, Cho C, Swartz AM, Cho Y, Strath SJ.","PLoS One. 2022 Feb 25;17(2):e0264110. doi: 10.1371/journal.pone.0264110. eCollection 2022.","Rowley TW","PLoS One","2022","2022/02/25","PMC8880568","","10.1371/journal.pone.0264110"
"35212167","Aerobic exercise training in older men and women-Cerebrovascular responses to submaximal exercise: Results from the Brain in Motion study","Lake SL, Guadagni V, Kendall KD, Chadder M, Anderson TJ, Leigh R, Rawling JM, Hogan DB, Hill MD, Poulin MJ.","Physiol Rep. 2022 Feb;10(4):e15158. doi: 10.14814/phy2.15158.","Lake SL","Physiol Rep","2022","2022/02/25","PMC8874289","","10.14814/phy2.15158"
"35209911","Effect of aerobic exercise intensity on health-related quality of life in severe obesity: a randomized controlled trial","Berge J, Hjelmesæth J, Kolotkin RL, Støren Ø, Bratland-Sanda S, Hertel JK, Gjevestad E, Småstuen MC, Helgerud J, Bernklev T.","Health Qual Life Outcomes. 2022 Feb 24;20(1):34. doi: 10.1186/s12955-022-01940-y.","Berge J","Health Qual Life Outcomes","2022","2022/02/25","PMC8876087","","10.1186/s12955-022-01940-y"
"35207593","Expiratory Peak Flow and Minute Ventilation Are Significantly Increased at High Altitude versus Simulated Altitude in Normobaria","Netzer NC, Rausch LK, Frieß M, Strohl KP, Schilz R, Decker M, Pramsohler S.","Life (Basel). 2022 Feb 17;12(2):306. doi: 10.3390/life12020306.","Netzer NC","Life (Basel)","2022","2022/02/25","PMC8875033","","10.3390/life12020306"
"35207356","Changes in Fat Oxidation and Body Composition after Combined Exercise Intervention in Sedentary Obese Chinese Adults","Cao J, Lei S, Zhao T, Xie Y, Zhou Z, Cheng S, Wang X.","J Clin Med. 2022 Feb 18;11(4):1086. doi: 10.3390/jcm11041086.","Cao J","J Clin Med","2022","2022/02/25","PMC8879656","","10.3390/jcm11041086"
"35205064","Relationships of Final Velocity at 30-15 Intermittent Fitness Test and Anaerobic Speed Reserve with Body Composition, Sprinting, Change-of-Direction and Vertical Jumping Performances: A Cross-Sectional Study in Youth Soccer Players","Silva AF, Alvurdu S, Akyildiz Z, Clemente FM.","Biology (Basel). 2022 Jan 27;11(2):197. doi: 10.3390/biology11020197.","Silva AF","Biology (Basel)","2022","2022/02/25","PMC8869283","","10.3390/biology11020197"
"35200094","Optimizing sprint interval exercise for post-exercise hypotension: A randomized crossover trial","Ketelhut S, Möhle M, Gürlich T, Hottenrott L, Hottenrott K.","Eur J Sport Sci. 2022 Mar 13:1-9. doi: 10.1080/17461391.2022.2046860. Online ahead of print.","Ketelhut S","Eur J Sport Sci","2022","2022/02/24","","","10.1080/17461391.2022.2046860"
"35195103","Aerobic Fitness is Associated with Cerebral mu-Opioid Receptor Activation in Healthy Humans","Saanijoki T, Kantonen T, Pekkarinen L, Kalliokoski K, Hirvonen J, Malén T, Tuominen L, Tuulari JJ, Arponen E, Nuutila P, Nummenmaa L.","Med Sci Sports Exerc. 2022 Feb 21. doi: 10.1249/MSS.0000000000002895. Online ahead of print.","Saanijoki T","Med Sci Sports Exerc","2022","2022/02/23","","","10.1249/MSS.0000000000002895"
"35192550","Acute aerobic exercise reveals FAHFAs distinguish the metabolomes of overweight and normal weight runners","Nelson AB, Chow LS, Stagg DB, Gillingham JR, Evans MD, Pan M, Hughey CC, Myers CL, Han X, Crawford PA, Puchalska P.","JCI Insight. 2022 Feb 22:e158037. doi: 10.1172/jci.insight.158037. Online ahead of print.","Nelson AB","JCI Insight","2022","2022/02/22","","","10.1172/jci.insight.158037"
"35191412","Which high-intensity interval training program is more effective in patients with coronary artery disease?","Okur I, Aksoy CC, Yaman F, Sen T.","Int J Rehabil Res. 2022 Feb 21. doi: 10.1097/MRR.0000000000000524. Online ahead of print.","Okur I","Int J Rehabil Res","2022","2022/02/22","","","10.1097/MRR.0000000000000524"
"35191291","Effects of two low-volume high-intensity interval training protocols in professional soccer: sprint interval training versus small-sided games","Boraczyński MT, Laskin JJ, Gajewski J, Podstawski RS, Brodnicki MA, Boraczyński TW.","J Sports Med Phys Fitness. 2022 Feb 21. doi: 10.23736/S0022-4707.22.13589-9. Online ahead of print.","Boraczyński MT","J Sports Med Phys Fitness","2022","2022/02/22","","","10.23736/S0022-4707.22.13589-9"
"35188136","Accumulated High-intensity Interval Training Protocol: A New Approach to Study Health Markers in Wistar Rats","De Sousa RAL, Mendes BF, Costa-Pereira L, de Souza Pereira RR, de Andrade JA, Diniz E Magalhães CO, Gripp F, Magalhães FC, Andrade EF, Cassilhas RC, Dias-Peixoto MF.","J Vis Exp. 2022 Feb 2;(180). doi: 10.3791/63328.","De Sousa RAL","J Vis Exp","2022","2022/02/21","","","10.3791/63328"
"35184202","Impaired Metabolic Health and low Cardiorespiratory Fitness independently associate with Subclinical Atherosclerosis in Obesity","Lehn-Stefan A, Peter A, Machann J, Schick F, Randrianarisoa E, Heni M, Wagner R, Birkenfeld AL, Fritsche A, Schulze MB, Stefan N, Kantartzis K.","J Clin Endocrinol Metab. 2022 Feb 20:dgac091. doi: 10.1210/clinem/dgac091. Online ahead of print.","Lehn-Stefan A","J Clin Endocrinol Metab","2022","2022/02/20","","","10.1210/clinem/dgac091"
"35182181","The time course of different neuromuscular adaptations to short-term downhill running training and their specific relationships with strength gains","Bontemps B, Gruet M, Louis J, Owens DJ, Miríc S, Erskine RM, Vercruyssen F.","Eur J Appl Physiol. 2022 Feb 18. doi: 10.1007/s00421-022-04898-3. Online ahead of print.","Bontemps B","Eur J Appl Physiol","2022","2022/02/19","","","10.1007/s00421-022-04898-3"
"35180800","Maximal Aerobic Power Using the Modified Heck Protocol: Prediction Models","Parpa K, Michaelides MA.","Int J Sports Med. 2022 Feb 18. doi: 10.1055/a-1749-5829. Online ahead of print.","Parpa K","Int J Sports Med","2022","2022/02/18","","","10.1055/a-1749-5829"
"35180191","Effects of Resistance Training Cessation on Cycling Performance in Well-Trained Cyclists: An Exploratory Study","Bláfoss R, Rikardo J, Andersen AØ, Hvid LG, Andersen LL, Jensen K, Christensen PM, Kvorning T, Aagaard P.","J Strength Cond Res. 2022 Mar 1;36(3):796-804. doi: 10.1519/JSC.0000000000004204.","Bláfoss R","J Strength Cond Res","2022","2022/02/18","","","10.1519/JSC.0000000000004204"
"35180188","Slowing the Path of Time: Age-Related and Normative Fitness Testing Data for Police Officers From a Health and Wellness Program","Lockie RG, Orr RM, Dawes JJ.","J Strength Cond Res. 2022 Mar 1;36(3):747-756. doi: 10.1519/JSC.0000000000004197.","Lockie RG","J Strength Cond Res","2022","2022/02/18","","","10.1519/JSC.0000000000004197"
"35175104","Viewpoint: Using VO(2max) as a marker of training status in athletes - can we do better?","Podlogar T, Leo P, Spragg J.","J Appl Physiol (1985). 2022 Feb 17. doi: 10.1152/japplphysiol.00723.2021. Online ahead of print.","Podlogar T","J Appl Physiol (1985)","2022","2022/02/17","","","10.1152/japplphysiol.00723.2021"
"35174324","Steeper or Faster? Tactical Dispositions to Minimize Oxygen Cost in Ski Mountaineering","Sunde A, Christoffersen F, Johansen JM, Støren Ø.","Front Sports Act Living. 2022 Jan 31;3:828389. doi: 10.3389/fspor.2021.828389. eCollection 2021.","Sunde A","Front Sports Act Living","2022","2022/02/17","PMC8841821","","10.3389/fspor.2021.828389"
"35173435","Heart Rate Recovery, Central Systolic Pressure, and Augmentation Index in Young Healthy Individuals","Latchman PL, Yang Q, Kong L, Zhang H, Sebagisha J, De Meersman RE.","Vasc Health Risk Manag. 2022 Feb 9;18:17-25. doi: 10.2147/VHRM.S340483. eCollection 2022.","Latchman PL","Vasc Health Risk Manag","2022","2022/02/17","PMC8841569","","10.2147/VHRM.S340483"
"35173376","Effect of a high-intensity short-duration cycling elevation training mask on V̇O(2max) and anaerobic power. A randomized controlled trial","Devereux G, Le Winton HG, Black J, Beato M.","Biol Sport. 2022 Jan;39(1):181-187. doi: 10.5114/biolsport.2021.102926. Epub 2021 Mar 9.","Devereux G","Biol Sport","2022","2022/02/17","PMC8805369","","10.5114/biolsport.2021.102926"
"35169204","Muscle protein synthesis and muscle/metabolic responses to resistance exercise training in South Asian and White European men","Alkhayl FFA, Ismail AD, Celis-Morales C, Wilson J, Radjenovic A, Johnston L, Welsh P, Sattar N, Gill JMR, Preston T, Gray SR.","Sci Rep. 2022 Feb 15;12(1):2469. doi: 10.1038/s41598-022-06446-7.","Alkhayl FFA","Sci Rep","2022","2022/02/16","PMC8847359","","10.1038/s41598-022-06446-7"
"35162854","Transferability of Cardiopulmonary Parameters between Treadmill and Cycle Ergometer Testing in Male Triathletes-Prediction Formulae","Wiecha S, Price S, Cieśliński I, Kasiak PS, Tota Ł, Ambroży T, Śliż D.","Int J Environ Res Public Health. 2022 Feb 6;19(3):1830. doi: 10.3390/ijerph19031830.","Wiecha S","Int J Environ Res Public Health","2022","2022/02/15","PMC8834943","","10.3390/ijerph19031830"
"35162340","The Impact of Grounding in Running Shoes on Indices of Performance in Elite Competitive Athletes","Muniz-Pardos B, Zelenkova I, Gonzalez-Aguero A, Knopp M, Boitz T, Graham M, Ruiz D, Casajus JA, Pitsiladis YP.","Int J Environ Res Public Health. 2022 Jan 25;19(3):1317. doi: 10.3390/ijerph19031317.","Muniz-Pardos B","Int J Environ Res Public Health","2022","2022/02/15","PMC8834746","","10.3390/ijerph19031317"
"35160292","Do Breast Cancer Patients Manage to Participate in an Outdoor, Tailored, Physical Activity Program during Adjuvant Breast Cancer Treatment, Independent of Health and Socio-Demographic Characteristics?","Stalsberg R, Bertheussen GF, Børset H, Thomsen SN, Husøy A, Flote VG, Thune I, Lundgren S.","J Clin Med. 2022 Feb 5;11(3):843. doi: 10.3390/jcm11030843.","Stalsberg R","J Clin Med","2022","2022/02/15","PMC8836448","","10.3390/jcm11030843"
"35150361","In systemic sclerosis TAPSE/sPAP ratio is correlated with ventilatory efficiency and exercise capacity assessed by CPET","Colalillo A, Pellicano C, Romaniello A, Rosato E.","Clin Exp Med. 2022 Feb 12. doi: 10.1007/s10238-022-00804-5. Online ahead of print.","Colalillo A","Clin Exp Med","2022","2022/02/12","","","10.1007/s10238-022-00804-5"
"35147135","[Association between the physical activity practice environment and lifestyle habits and indicators of physical and psychosocial health.]","Jiménez Boraita R, Gargallo Ibort E, Arriscado Alsina D, Dalmau Torres JM.","Rev Esp Salud Publica. 2022 Feb 11;96:e202202017.","Jiménez Boraita R","Rev Esp Salud Publica","2022","2022/02/11","","",""
"35144638","Is physical activity a future therapy for patients with Marfan syndrome?","Jouini S, Milleron O, Eliahou L, Jondeau G, Vitiello D.","Orphanet J Rare Dis. 2022 Feb 10;17(1):46. doi: 10.1186/s13023-022-02198-9.","Jouini S","Orphanet J Rare Dis","2022","2022/02/11","PMC8832740","","10.1186/s13023-022-02198-9"
"35140629","Issues on Trainability","Radak Z, Taylor AW.","Front Physiol. 2022 Jan 24;12:790196. doi: 10.3389/fphys.2021.790196. eCollection 2021.","Radak Z","Front Physiol","2022","2022/02/10","PMC8818888","","10.3389/fphys.2021.790196"
"35140525","Effects of Interval Training Under Hypoxia on the Autonomic Nervous System and Arterial and Hemorheological Function in Healthy Women","Park HY, Jung WS, Kim SW, Lim K.","Int J Womens Health. 2022 Feb 2;14:79-90. doi: 10.2147/IJWH.S344233. eCollection 2022.","Park HY","Int J Womens Health","2022","2022/02/10","PMC8818981","","10.2147/IJWH.S344233"
"35137567","Functional improvement following direct interventional leaflet repair of severe tricuspid regurgitation","Volz MJ, Hoerbrand I, Konstandin MH, Mereles D, Weiss C, Warnecke G, Frey N, Aurich M, Raake PW.","ESC Heart Fail. 2022 Feb 8. doi: 10.1002/ehf2.13831. Online ahead of print.","Volz MJ","ESC Heart Fail","2022","2022/02/09","","","10.1002/ehf2.13831"
"35136000","Improvements in Maximal Oxygen Uptake after Sprint Interval Training Coincide with Increases in Central Hemodynamic Factors","Mandić M, Hansson B, Lovrić A, Sundblad P, Vollaard NBJ, Lundberg TR, Gustafsson T, Rullman E.","Med Sci Sports Exerc. 2022 Feb 9. doi: 10.1249/MSS.0000000000002872. Online ahead of print.","Mandić M","Med Sci Sports Exerc","2022","2022/02/09","","","10.1249/MSS.0000000000002872"
"35135608","Time-course effects of functional fitness sessions performed at different intensities on the metabolic, hormonal, and BDNF responses in trained men","Tibana RA, de Sousa Neto IV, de Sousa NMF, Dos Santos WM, Prestes J, Neto JHF, Dominski FH, Kennedy MD, Voltarelli FA.","BMC Sports Sci Med Rehabil. 2022 Feb 8;14(1):22. doi: 10.1186/s13102-022-00412-6.","Tibana RA","BMC Sports Sci Med Rehabil","2022","2022/02/09","PMC8822744","","10.1186/s13102-022-00412-6"
"35133998","Long-Term Athlete Development: Seasonal and Longitudinal Fitness Changes in Female University Rugby Players","Falk Neto JH, Parent EC, Kennedy MD.","J Strength Cond Res. 2021 Dec 1;35(12):3459-3465. doi: 10.1519/JSC.0000000000003321.","Falk Neto JH","J Strength Cond Res","2021","2022/02/08","","","10.1519/JSC.0000000000003321"
"35133516","Effects of Hyperbaric Oxygen Therapy on Mitochondrial Respiration and Physical Performance in Middle-Aged Athletes: A Blinded, Randomized Controlled Trial","Hadanny A, Hachmo Y, Rozali D, Catalogna M, Yaakobi E, Sova M, Gattegno H, Abu Hamed R, Lang E, Polak N, Friedman M, Finci S, Zemel Y, Bechor Y, Gal N, Efrati S.","Sports Med Open. 2022 Feb 8;8(1):22. doi: 10.1186/s40798-021-00403-w.","Hadanny A","Sports Med Open","2022","2022/02/08","PMC8825926","","10.1186/s40798-021-00403-w"
